Serie	Number	Date	Text	CreatedBy	CreatedDate	Account	Amount
V	1	2021-02-10	One.com Group AB - IT-produkter Inrikes	mikael@sciple.ai	2021-02-10 12:29:19	2440	-285.00
V	1	2021-02-10	One.com Group AB - IT-produkter Inrikes	mikael@sciple.ai	2021-02-10 12:29:19	2640	57.00
V	1	2021-02-10	One.com Group AB - IT-produkter Inrikes	mikael@sciple.ai	2021-02-10 12:29:19	6230	228.00
V	2	2020-12-31	Betalning V1:285,00	mikael@sciple.ai	2021-02-10 12:30:22	2440	285.00
V	2	2020-12-31	Betalning V1:285,00	mikael@sciple.ai	2021-02-10 12:30:22	2890	-285.00
V	3	2021-01-13	namecheap.com - Inköp Tjänster utanför EU	mikael@sciple.ai	2021-02-10 12:57:19	2440	-469.49
V	3	2021-01-13	namecheap.com - Inköp Tjänster utanför EU	mikael@sciple.ai	2021-02-10 12:57:19	2614	-117.37
V	3	2021-01-13	namecheap.com - Inköp Tjänster utanför EU	mikael@sciple.ai	2021-02-10 12:57:19	2645	117.37
V	3	2021-01-13	namecheap.com - Inköp Tjänster utanför EU	mikael@sciple.ai	2021-02-10 12:57:19	4531	469.49
V	4	2021-01-13	Betalning V3:469,49	mikael@sciple.ai	2021-02-10 12:57:42	2440	469.49
V	4	2021-01-13	Betalning V3:469,49	mikael@sciple.ai	2021-02-10 12:57:42	2890	-469.49
V	5	2020-12-21	Inköp tjänster inom EU 25%	mikael@sciple.ai	2021-02-10 13:04:20	2614	-1051.16
V	5	2020-12-21	Inköp tjänster inom EU 25%	mikael@sciple.ai	2021-02-10 13:04:20	2645	1051.16
V	5	2020-12-21	Inköp tjänster inom EU 25%	mikael@sciple.ai	2021-02-10 13:04:20	2890	-4204.65
V	5	2020-12-21	Inköp tjänster inom EU 25%	mikael@sciple.ai	2021-02-10 13:04:20	4535	4204.65
V	6	2020-12-14	Bolagsverket, ej avdragsgill	mikael@sciple.ai	2021-02-10 13:10:46	2890	-1900.00
V	6	2020-12-14	Bolagsverket, ej avdragsgill	mikael@sciple.ai	2021-02-10 13:10:46	6992	1900.00
V	7	2021-01-31	Inköp tjänster inom EU 25%	mikael@sciple.ai	2021-02-10 13:40:22	2614	-8.42
V	7	2021-01-31	Inköp tjänster inom EU 25%	mikael@sciple.ai	2021-02-10 13:40:22	2645	8.42
V	7	2021-01-31	Inköp tjänster inom EU 25%	mikael@sciple.ai	2021-02-10 13:40:22	2890	-33.67
V	7	2021-01-31	Inköp tjänster inom EU 25%	mikael@sciple.ai	2021-02-10 13:40:22	4535	33.67
V	8	2020-12-31	Momsredovisning: oktober 2020 - december 2020	mikael@sciple.ai	2021-02-10 13:45:27	2614	1051.16
V	8	2020-12-31	Momsredovisning: oktober 2020 - december 2020	mikael@sciple.ai	2021-02-10 13:45:27	2645	-1051.16
V	9	2020-11-30	Aktiekapital	mikael@sciple.ai	2021-02-10 16:34:52	1930	25000.00
V	9	2020-11-30	Aktiekapital	mikael@sciple.ai	2021-02-10 16:34:52	2081	-25000.00
V	10	2021-03-01	Payout to Mikael	rajiv@sciple.ai	2021-03-01 16:20:39	1930	-6893.00
V	10	2021-03-01	Payout to Mikael	rajiv@sciple.ai	2021-03-01 16:20:39	2890	6893.00
V	11	2021-01-07	Train ticket to Stockholm - Biljetter inrikes	rajiv@sciple.ai	2021-03-01 16:27:29	2640	31.02
V	11	2021-01-07	Train ticket to Stockholm - Biljetter inrikes	rajiv@sciple.ai	2021-03-01 16:27:29	2890	-548.00
V	11	2021-01-07	Train ticket to Stockholm - Biljetter inrikes	rajiv@sciple.ai	2021-03-01 16:27:29	5810	516.98
V	12	2021-02-28	Train ticket - Biljetter inrikes	rajiv@sciple.ai	2021-03-01 16:28:03	2640	53.72
V	12	2021-02-28	Train ticket - Biljetter inrikes	rajiv@sciple.ai	2021-03-01 16:28:03	2890	-949.00
V	12	2021-02-28	Train ticket - Biljetter inrikes	rajiv@sciple.ai	2021-03-01 16:28:03	5810	895.28
V	13	2021-02-22	Valutaväxling - Överföring till företagskonto	mikael@sciple.ai	2021-03-01 16:34:08	1930	41110.62
V	13	2021-02-22	Valutaväxling - Överföring till företagskonto	mikael@sciple.ai	2021-03-01 16:34:08	1931	-41110.62
V	14	2021-02-19	INET AB /21-02-18 - Inköp förbrukningsmaterial	mikael@sciple.ai	2021-03-01 16:37:16	1930	-6779.00
V	14	2021-02-19	INET AB /21-02-18 - Inköp förbrukningsmaterial	mikael@sciple.ai	2021-03-01 16:37:16	2640	1355.80
V	14	2021-02-19	INET AB /21-02-18 - Inköp förbrukningsmaterial	mikael@sciple.ai	2021-03-01 16:37:16	5460	5423.20
V	15	2021-02-18	Aktieägartillskott	mikael@sciple.ai	2021-03-01 16:52:29	1931	837177.70
V	15	2021-02-18	Aktieägartillskott	mikael@sciple.ai	2021-03-01 16:52:29	2093	-837177.70
V	16	2021-03-01	Biljetter inrikes	rajiv@sciple.ai	2021-03-01 17:33:27	1930	-509.00
V	16	2021-03-01	Biljetter inrikes	rajiv@sciple.ai	2021-03-01 17:33:27	2640	28.81
V	16	2021-03-01	Biljetter inrikes	rajiv@sciple.ai	2021-03-01 17:33:27	5810	480.19
V	17	2021-03-01	Train to Gothenburg - Biljetter inrikes	rajiv@sciple.ai	2021-03-01 17:38:25	2640	28.81
V	17	2021-03-01	Train to Gothenburg - Biljetter inrikes	rajiv@sciple.ai	2021-03-01 17:38:25	2890	-509.00
V	17	2021-03-01	Train to Gothenburg - Biljetter inrikes	rajiv@sciple.ai	2021-03-01 17:38:25	5810	480.19
V	18	2021-03-02	Utlägg: Rajiv Harimoorthy	mikael@sciple.ai	2021-03-02 08:22:52	1930	-1497.00
V	18	2021-03-02	Utlägg: Rajiv Harimoorthy	mikael@sciple.ai	2021-03-02 08:22:52	2890	1497.00
V	19	2021-03-01	Annullering av V17: Train to Gothenburg - Biljetter inrikes	mikael@sciple.ai	2021-03-02 09:58:14	2640	-28.81
V	19	2021-03-01	Annullering av V17: Train to Gothenburg - Biljetter inrikes	mikael@sciple.ai	2021-03-02 09:58:14	2890	509.00
V	19	2021-03-01	Annullering av V17: Train to Gothenburg - Biljetter inrikes	mikael@sciple.ai	2021-03-02 09:58:14	5810	-480.19
V	20	2021-03-15	Antler Program fee 	mikael@sciple.ai	2021-04-12 09:38:39	1931	-387061.73
V	20	2021-03-15	Antler Program fee 	mikael@sciple.ai	2021-04-12 09:38:39	2614	-96765.43
V	20	2021-03-15	Antler Program fee 	mikael@sciple.ai	2021-04-12 09:38:39	2645	96765.43
V	20	2021-03-15	Antler Program fee 	mikael@sciple.ai	2021-04-12 09:38:39	4531	387061.73
V	20	2021-03-15	Antler Program fee 	mikael@sciple.ai	2021-04-12 09:38:39	4598	-387061.73
V	20	2021-03-15	Antler Program fee 	mikael@sciple.ai	2021-04-12 09:38:39	6090	387061.73
V	21	2021-03-02	Bolagsverket, avdragsgill for changing number of shares	mikael@sciple.ai	2021-04-12 09:46:58	1930	-800.00
V	21	2021-03-02	Bolagsverket, avdragsgill for changing number of shares	mikael@sciple.ai	2021-04-12 09:46:58	6991	800.00
V	22	2021-04-02	GOOGLE GSUI /21-04-01 - Inköp tjänster inom EU 25%	mikael@sciple.ai	2021-04-12 11:17:21	1930	-434.43
V	22	2021-04-02	GOOGLE GSUI /21-04-01 - Inköp tjänster inom EU 25%	mikael@sciple.ai	2021-04-12 11:17:21	2614	-108.61
