Serie	Number	Date	Text	CreatedBy	CreatedDate	Account	Amount
V	1	2017-01-31	Pensionsförsäkring	info@belean.se	2017-02-05 15:23:29	1930	-7650.00
V	1	2017-01-31	Pensionsförsäkring	info@belean.se	2017-02-05 15:23:29	2514	-1855.89
V	1	2017-01-31	Pensionsförsäkring	info@belean.se	2017-02-05 15:23:29	7412	7650.00
V	1	2017-01-31	Pensionsförsäkring	info@belean.se	2017-02-05 15:23:29	7533	1855.89
V	2	2017-01-12	Utlägg utbetalning	info@belean.se	2017-02-05 15:24:52	1930	-2748.50
V	2	2017-01-12	Utlägg utbetalning	info@belean.se	2017-02-05 15:24:52	2890	2748.50
V	3	2017-01-01	Pensionsförsäkring	info@belean.se	2017-02-05 15:32:26	1930	-1845.00
V	3	2017-01-01	Pensionsförsäkring	info@belean.se	2017-02-05 15:32:26	2514	-447.60
V	3	2017-01-01	Pensionsförsäkring	info@belean.se	2017-02-05 15:32:26	7412	1845.00
V	3	2017-01-01	Pensionsförsäkring	info@belean.se	2017-02-05 15:32:26	7533	447.60
V	4	2017-01-12	Mobiltelefon	info@belean.se	2017-02-05 15:33:46	1930	-1266.00
V	4	2017-01-12	Mobiltelefon	info@belean.se	2017-02-05 15:33:46	2640	253.20
V	4	2017-01-12	Mobiltelefon	info@belean.se	2017-02-05 15:33:46	6212	1012.80
V	5	2017-01-01	Finansiell Leasing avbetalning	info@belean.se	2017-02-05 15:39:07	1269	-638.89
V	5	2017-01-01	Finansiell Leasing avbetalning	info@belean.se	2017-02-05 15:39:07	1930	-2067.00
V	5	2017-01-01	Finansiell Leasing avbetalning	info@belean.se	2017-02-05 15:39:07	2391	1860.27
V	5	2017-01-01	Finansiell Leasing avbetalning	info@belean.se	2017-02-05 15:39:07	2640	206.73
V	5	2017-01-01	Finansiell Leasing avbetalning	info@belean.se	2017-02-05 15:39:07	7836	638.89
V	6	2017-01-14	Utbildning	info@belean.se	2017-02-05 15:40:56	1930	-49.00
V	6	2017-01-14	Utbildning	info@belean.se	2017-02-05 15:40:56	2640	9.80
V	6	2017-01-14	Utbildning	info@belean.se	2017-02-05 15:40:56	7610	39.20
V	7	2017-01-26	Mobiltelefon	info@belean.se	2017-02-05 16:51:47	1930	-649.00
V	7	2017-01-26	Mobiltelefon	info@belean.se	2017-02-05 16:51:47	2640	129.80
V	7	2017-01-26	Mobiltelefon	info@belean.se	2017-02-05 16:51:47	6212	519.20
V	8	2017-01-12	Annullering V4: Mobiltelefon	info@belean.se	2017-02-05 17:46:11	1930	1266.00
V	8	2017-01-12	Annullering V4: Mobiltelefon	info@belean.se	2017-02-05 17:46:11	2640	-253.20
V	8	2017-01-12	Annullering V4: Mobiltelefon	info@belean.se	2017-02-05 17:46:11	6212	-1012.80
V	9	2017-01-04	Försäljning av konsulttjänster Okt	info@belean.se	2017-02-05 18:02:53	1930	171325.00
V	9	2017-01-04	Försäljning av konsulttjänster Okt	info@belean.se	2017-02-05 18:02:53	2610	-34265.00
V	9	2017-01-04	Försäljning av konsulttjänster Okt	info@belean.se	2017-02-05 18:02:53	3001	-137060.00
V	10	2017-01-24	Överbetalt lön för Jan	info@belean.se	2017-02-05 18:27:34	1612	1388.00
V	10	2017-01-24	Överbetalt lön för Jan	info@belean.se	2017-02-05 18:27:34	7210	-1388.00
V	11	2017-01-17	Överbetalt sociala avgifter och löneskatt	info@belean.se	2017-02-05 18:34:41	1640	3473.00
V	11	2017-01-17	Överbetalt sociala avgifter och löneskatt	info@belean.se	2017-02-05 18:34:41	2510	-3473.00
V	12	2017-01-31	Banktjänster	info@belean.se	2017-02-05 18:41:01	1930	-50.00
V	12	2017-01-31	Banktjänster	info@belean.se	2017-02-05 18:41:01	6570	50.00
V	13	2017-01-31	Bilförsäkring avdragsgill Folksam	info@belean.se	2017-02-05 18:42:35	1930	-428.00
V	13	2017-01-31	Bilförsäkring avdragsgill Folksam	info@belean.se	2017-02-05 18:42:35	6310	428.00
V	14	2017-01-04	Annullering V9: Försäljning av konsulttjänster Okt	info@belean.se	2017-03-05 16:11:30	1930	-171325.00
